Month/Year,2017,2018,2019,2020,2021,2022,Mean
January,,0.28,0.32,0.15,0.62,0.49,0.37
February,0.17,0.16,0.42,0.17,0.62,0.63,0.36
March,0.34,0.63,0.52,0.25,0.32,0.01,0.35
April,0.56,0.5,0.63,0.44,0.35,0.47,0.49
May,0.76,0.38,0.87,0.59,0.3,0.73,0.6
June,0.82,0.5,0.72,0.82,0.39,0.68,0.66
July,0.65,0.36,0.84,0.71,0.56,0.7,0.64
August,0.75,0.59,0.79,0.88,0.47,0.95,0.74
September,0.3,0.63,0.74,0.47,0.7,0.48,0.55
October,0.76,0.69,0.93,0.88,0.49,0.49,0.71
November,0.47,0.25,0.79,0.76,0.74,0.09,0.52
December,0.27,0.62,0.44,0.65,0.64,,0.52
